ghg_entity,ev_entity
Africa,Africa
Algeria,Africa OPEC
Argentina,Argentina
Asia,Asia
Australia,Australia
Austria,Austria
Azerbaijan,Rest of world
Bangladesh,Rest of world
Belarus,Rest of Annex I
Belgium,Belgium 
Brazil,Brazil
Bulgaria,Bulgaria
Canada,Canada
Chile,Rest of Latin America
China,China
Colombia,Colombia
Croatia,Croatia
Cyprus,Cyprus
Czechia,Czech Republic
Denmark,Denmark
Ecuador,Rest of Latin America
Egypt,Rest of world
Estonia,Estonia
Europe,Europe
European Union (27),European Union (27)
Finland,Finland
France,France
Germany,Germany
Greece,Greece
High-income countries,High-income countries
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,OPEC (excl Venezuela)
Iraq,OPEC (excl Venezuela)
Ireland,Ireland
Israel,Rest of world
Italy,Italy
Japan,Japan
Kazakhstan,Rest of world
Kuwait,OPEC (excl Venezuela)
Latvia,Latvia
Lithuania,Lithuania
Lower-middle-income countries,Lower-middle-income countries
Luxembourg,Luxembourg
Malaysia,ASEAN
Mexico,Mexico
Morocco,Rest of world
Netherlands,Netherlands
New Zealand,New Zealand
North America,North America
North Macedonia,Macedonia
Norway,Norway
Oceania,Rest of world
Oman,Rest of world
Pakistan,Rest of world
Peru,Rest of Latin America
Philippines,ASEAN
Poland,Poland
Portugal,portugal
Qatar,OPEC (excl Venezuela)
Romania,Romania
Russia,Russian Federation
Saudi Arabia,Saudi Arabia
Singapore,ASEAN
Slovakia,Slovakia
Slovenia,Slovenia
South Africa,South Africa SA
South America,South America
South Korea,Korea
Spain,Spain
Sri Lanka,Rest of world
Sweden,Sweden
Switzerland,Switzerland
Thailand,ASEAN
Trinidad and Tobago,Rest of Latin America
Turkey,Turkey
Ukraine,Ukraine
United Arab Emirates,OPEC (excl Venezuela)
United Kingdom,UK
United States,USA
Upper-middle-income countries,Upper-middle-income countries
Uzbekistan,Rest of world
Venezuela,Rest of Latin America
Vietnam,ASEAN
World,World
